time	V(vgate)	V(n005)	I(D1)
0.000000000000000e+000	3.300000e+000	3.300000e+000	4.111923e-001
1.505439495873060e-012	3.300000e+000	3.295032e+000	4.111923e-001
3.010878991746121e-012	3.300000e+000	3.290064e+000	4.111923e-001
4.516318487619181e-012	3.300000e+000	3.285096e+000	4.111923e-001
6.021757983492242e-012	3.300000e+000	3.280128e+000	4.111923e-001
7.527197479365303e-012	3.300000e+000	3.275160e+000	4.111923e-001
9.032636975238362e-012	3.300000e+000	3.270192e+000	4.111923e-001
1.053807647111142e-011	3.300000e+000	3.265224e+000	4.111923e-001
1.567030363696294e-011	3.300000e+000	3.248288e+000	4.111923e-001
2.035462473202315e-011	3.300000e+000	3.232830e+000	4.111923e-001
2.536187763263817e-011	3.300000e+000	3.216306e+000	4.111923e-001
3.165206521223764e-011	3.299999e+000	3.195548e+000	4.111923e-001
3.948216340994757e-011	3.299999e+000	3.169709e+000	4.111923e-001
4.940742960045300e-011	3.299997e+000	3.136955e+000	4.111923e-001
6.177722344218856e-011	3.299995e+000	3.096135e+000	4.111923e-001
7.741053117068272e-011	3.299990e+000	3.044545e+000	4.111923e-001
9.702565160504986e-011	3.299982e+000	2.979815e+000	4.111923e-001
1.218936598946615e-010	3.299964e+000	2.897751e+000	4.111923e-001
1.533605487902854e-010	3.299930e+000	2.793910e+000	4.111923e-001
1.935504582297506e-010	3.299861e+000	2.661283e+000	4.111923e-001
2.450434622535039e-010	3.299726e+000	2.491357e+000	4.111923e-001
3.117766479729569e-010	3.299450e+000	2.271137e+000	4.111923e-001
3.991519126651524e-010	3.298887e+000	1.982799e+000	4.111923e-001
5.157708544488497e-010	3.297705e+000	1.597956e+000	4.111923e-001
6.754960462214711e-010	3.295381e+000	1.070863e+000	4.111923e-001
7.708376246382702e-010	3.293585e+000	7.562358e-001	4.111923e-001
8.093168431664020e-010	3.292700e+000	6.292544e-001	4.111923e-001
8.862752802226658e-010	3.290631e+000	3.752916e-001	4.111923e-001
1.000000000000000e-009	3.287253e+000	0.000000e+000	4.111923e-001
1.034117415933200e-009	3.286067e+000	0.000000e+000	4.111923e-001
1.079607303844134e-009	3.284390e+000	0.000000e+000	4.111923e-001
1.170587079666001e-009	3.280748e+000	0.000000e+000	4.111923e-001
1.352546631309736e-009	3.272727e+000	0.000000e+000	4.111923e-001
1.586238272966257e-009	3.261531e+000	0.000000e+000	4.111923e-001
1.805806741239764e-009	3.250389e+000	0.000000e+000	4.111923e-001
2.056289118485888e-009	3.237352e+000	0.000000e+000	4.111923e-001
2.337397605399837e-009	3.222768e+000	0.000000e+000	4.111923e-001
2.695881115127422e-009	3.204656e+000	0.000000e+000	4.111923e-001
3.132481810258977e-009	3.183673e+000	0.000000e+000	4.111924e-001
3.727921708593456e-009	3.157073e+000	0.000000e+000	4.111924e-001
4.584882179646587e-009	3.122069e+000	0.000000e+000	4.111926e-001
5.846558268995727e-009	3.074717e+000	0.000000e+000	4.111928e-001
7.008976446161042e-009	3.033819e+000	0.000000e+000	4.111931e-001
8.471430615173246e-009	2.984494e+000	0.000000e+000	4.111935e-001
1.003044236592192e-008	2.933337e+000	0.000000e+000	4.111939e-001
1.257838481365970e-008	2.852065e+000	0.000000e+000	4.111943e-001
1.632815063386794e-008	2.737405e+000	0.000000e+000	4.111938e-001
2.382768227428439e-008	2.522303e+000	0.000000e+000	4.111881e-001
3.359330727428439e-008	2.264735e+000	0.000000e+000	4.111705e-001
4.335893227428439e-008	2.031992e+000	0.000000e+000	4.111374e-001
5.312455727428439e-008	1.823254e+000	0.000000e+000	4.110832e-001
6.289018227428438e-008	1.636437e+000	0.000000e+000	4.109998e-001
7.265580727428438e-008	1.470286e+000	0.000000e+000	4.108736e-001
8.242143227428438e-008	1.324149e+000	0.000000e+000	4.106837e-001
9.041434361101606e-008	1.221808e+000	0.000000e+000	4.104511e-001
9.675221827407676e-008	1.157110e+000	0.000000e+000	4.101789e-001
1.017813104886336e-007	1.124594e+000	0.000000e+000	4.098577e-001
1.069137470877432e-007	1.111974e+000	0.000000e+000	4.093653e-001
1.119498720729693e-007	1.109927e+000	0.000000e+000	4.086519e-001
1.168011903621743e-007	1.109539e+000	0.000000e+000	4.076259e-001
1.249830766746492e-007	1.108641e+000	0.000000e+000	4.051202e-001
1.347487016746492e-007	1.107249e+000	0.000000e+000	4.009962e-001
1.445143266746492e-007	1.105462e+000	0.000000e+000	3.955481e-001
1.542799516746492e-007	1.103233e+000	0.000000e+000	3.886966e-001
1.640455766746492e-007	1.100499e+000	0.000000e+000	3.803843e-001
1.738112016746492e-007	1.097167e+000	0.000000e+000	3.704888e-001
1.835768266746492e-007	1.093091e+000	0.000000e+000	3.587966e-001
1.933424516746492e-007	1.088077e+000	0.000000e+000	3.449816e-001
2.031080766746492e-007	1.081852e+000	0.000000e+000	3.285989e-001
2.128737016746492e-007	1.074049e+000	0.000000e+000	3.091021e-001
2.226393266746492e-007	1.064139e+000	0.000000e+000	2.858881e-001
2.324049516746492e-007	1.051331e+000	0.000000e+000	2.583648e-001
2.421705766746492e-007	1.034287e+000	0.000000e+000	2.260348e-001
2.519362016746493e-007	1.010337e+000	0.000000e+000	1.885960e-001
2.617018266746493e-007	9.717404e-001	0.000000e+000	1.460896e-001
2.714674516746493e-007	8.949161e-001	0.000000e+000	9.938370e-002
2.782278781223426e-007	7.747647e-001	0.000000e+000	6.524635e-002
2.825502791018759e-007	6.130298e-001	0.000000e+000	4.321158e-002
2.872456200821658e-007	3.325408e-001	0.000000e+000	2.016279e-002
2.913387861635724e-007	2.456615e-002	0.000000e+000	1.540803e-003
2.939310602507638e-007	-1.910212e-001	0.000000e+000	-8.938129e-003
2.969007174290527e-007	-4.420154e-001	0.000000e+000	-1.915370e-002
3.002488478007151e-007	-7.087985e-001	0.000000e+000	-2.810320e-002
3.053400435545246e-007	-1.056348e+000	0.000000e+000	-3.673247e-002
3.109577998346163e-007	-1.331694e+000	0.000000e+000	-3.999282e-002
3.171296163712049e-007	-1.478128e+000	0.000000e+000	-3.689676e-002
