time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.391794175647776e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.918361363973705e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.453637515231722e-011	3.299997e+000	7.492810e-003	3.465263e-001
3.111815185863677e-011	3.299994e+000	7.492803e-003	3.465263e-001
3.991051223641694e-011	3.299989e+000	7.492788e-003	3.465264e-001
5.174155727546654e-011	3.299978e+000	7.492749e-003	3.465264e-001
6.809280218744917e-011	3.299954e+000	7.492651e-003	3.465264e-001
9.149001627140696e-011	3.299901e+000	7.492391e-003	3.465264e-001
1.276552726388162e-010	3.299770e+000	7.491639e-003	3.465264e-001
1.940210525461268e-010	3.299367e+000	7.489068e-003	3.465265e-001
3.267526123607479e-010	3.298161e+000	7.480921e-003	3.465266e-001
4.463984858275596e-010	3.296654e+000	7.470582e-003	3.465267e-001
6.253650076855567e-010	3.293759e+000	7.450996e-003	3.465268e-001
8.213954281340682e-010	3.290009e+000	7.426457e-003	3.465269e-001
1.000000000000000e-009	3.286222e+000	7.402430e-003	3.465270e-001
1.017860457186593e-009	3.285814e+000	7.399936e-003	3.465270e-001
1.053581371559780e-009	3.285018e+000	7.395082e-003	3.465270e-001
1.125023200306153e-009	3.283544e+000	7.386370e-003	3.465270e-001
1.267906857798898e-009	3.281003e+000	7.372790e-003	3.465270e-001
1.467048905804999e-009	3.278120e+000	7.360455e-003	3.465271e-001
1.687259523296786e-009	3.275573e+000	7.353353e-003	3.465271e-001
1.912003196332513e-009	3.273434e+000	7.350809e-003	3.465272e-001
2.166610473730586e-009	3.271330e+000	7.351201e-003	3.465272e-001
2.463467300350148e-009	3.269095e+000	7.353882e-003	3.465272e-001
2.831014709350043e-009	3.266480e+000	7.358761e-003	3.465272e-001
3.290637916278557e-009	3.263308e+000	7.365850e-003	3.465272e-001
3.910643858601733e-009	3.259089e+000	7.375997e-003	3.465272e-001
4.798113664980739e-009	3.253085e+000	7.390825e-003	3.465272e-001
6.261232932307769e-009	3.243226e+000	7.415500e-003	3.465272e-001
9.172426970290652e-009	3.223722e+000	7.465147e-003	3.465271e-001
1.499481504625642e-008	3.185056e+000	7.566131e-003	3.465270e-001
2.183075254625642e-008	3.140184e+000	7.687370e-003	3.465266e-001
2.866669004625642e-008	3.095920e+000	7.811851e-003	3.465256e-001
3.550262754625642e-008	3.052280e+000	7.939825e-003	3.465240e-001
4.917450254625642e-008	2.966835e+000	8.206806e-003	3.465185e-001
6.284637754625642e-008	2.883779e+000	8.489505e-003	3.465102e-001
7.651825254625640e-008	2.803044e+000	8.789248e-003	3.464991e-001
9.702606504625639e-008	2.686149e+000	9.274099e-003	3.464777e-001
1.175338775462564e-007	2.574114e+000	9.806421e-003	3.464505e-001
1.380416900462564e-007	2.466733e+000	1.039307e-002	3.464178e-001
1.585495025462564e-007	2.363810e+000	1.104230e-002	3.463796e-001
1.790573150462564e-007	2.265158e+000	1.176410e-002	3.463356e-001
1.995651275462565e-007	2.170599e+000	1.257074e-002	3.462854e-001
2.200729400462565e-007	2.079966e+000	1.347736e-002	3.462285e-001
2.337448150462565e-007	2.021647e+000	1.414651e-002	3.461865e-001
2.474166900462565e-007	1.964958e+000	1.487526e-002	3.461409e-001
2.610885650462565e-007	1.909857e+000	1.567165e-002	3.460914e-001
2.747604400462565e-007	1.856306e+000	1.654521e-002	3.460375e-001
2.884323150462566e-007	1.804268e+000	1.750735e-002	3.459788e-001
3.021041900462566e-007	1.753709e+000	1.857176e-002	3.459147e-001
3.157760650462566e-007	1.704599e+000	1.975510e-002	3.458446e-001
3.294479400462566e-007	1.656912e+000	2.107767e-002	3.457676e-001
3.362838775462566e-007	1.633595e+000	2.179878e-002	3.457261e-001
3.431198150462566e-007	1.610626e+000	2.256454e-002	3.456826e-001
3.499557525462566e-007	1.588004e+000	2.337904e-002	3.456368e-001
3.567916900462566e-007	1.565726e+000	2.424688e-002	3.455887e-001
3.636276275462566e-007	1.543793e+000	2.517320e-002	3.455378e-001
3.704635650462566e-007	1.522203e+000	2.616379e-002	3.454841e-001
3.772995025462567e-007	1.500958e+000	2.722521e-002	3.454273e-001
3.841354400462567e-007	1.480058e+000	2.836483e-002	3.453673e-001
3.909713775462567e-007	1.459504e+000	2.959104e-002	3.453035e-001
3.978073150462567e-007	1.439301e+000	3.091335e-002	3.452358e-001
4.046432525462567e-007	1.419451e+000	3.234259e-002	3.451637e-001
4.114791900462567e-007	1.399960e+000	3.389116e-002	3.450869e-001
4.183151275462567e-007	1.380833e+000	3.557322e-002	3.450049e-001
4.251510650462567e-007	1.362080e+000	3.740507e-002	3.449171e-001
4.319870025462567e-007	1.343709e+000	3.940548e-002	3.448230e-001
4.388229400462567e-007	1.325734e+000	4.159614e-002	3.447219e-001
4.456588775462567e-007	1.308169e+000	4.400224e-002	3.446130e-001
4.524948150462567e-007	1.291032e+000	4.665316e-002	3.444953e-001
4.593307525462567e-007	1.274345e+000	4.958330e-002	3.443679e-001
4.661666900462567e-007	1.258135e+000	5.283326e-002	3.442297e-001
4.730026275462568e-007	1.242435e+000	5.645120e-002	3.440792e-001
4.798385650462568e-007	1.227283e+000	6.049481e-002	3.439149e-001
4.866745025462567e-007	1.212730e+000	6.503381e-002	3.437350e-001
4.935104400462567e-007	1.198835e+000	7.015345e-002	3.435372e-001
5.003463775462566e-007	1.185677e+000	7.595932e-002	3.433191e-001
5.071823150462566e-007	1.173352e+000	8.258407e-002	3.430776e-001
5.140182525462565e-007	1.161986e+000	9.019689e-002	3.428089e-001
