time	V(vout)	V(n005)	I(D1)
0.000000000000000e+000	8.892570e-003	3.300000e+000	4.111923e-001
1.508828950581066e-012	8.892570e-003	3.295021e+000	4.111923e-001
3.017657901162131e-012	8.892570e-003	3.290042e+000	4.111923e-001
4.526486851743197e-012	8.892570e-003	3.285063e+000	4.111923e-001
6.035315802324263e-012	8.892570e-003	3.280083e+000	4.111923e-001
7.544144752905329e-012	8.892570e-003	3.275104e+000	4.111923e-001
9.052973703486393e-012	8.892570e-003	3.270125e+000	4.111923e-001
1.056180265406746e-011	8.892570e-003	3.265146e+000	4.111923e-001
1.571627122282733e-011	8.892570e-003	3.248136e+000	4.111923e-001
2.044695857491339e-011	8.892570e-003	3.232525e+000	4.111923e-001
2.550657104900410e-011	8.892569e-003	3.215828e+000	4.111923e-001
3.190228830318521e-011	8.892567e-003	3.194722e+000	4.111923e-001
3.989691079915231e-011	8.892563e-003	3.168340e+000	4.111923e-001
5.010730726840188e-011	8.892557e-003	3.134646e+000	4.111923e-001
6.292740088066810e-011	8.892542e-003	3.092340e+000	4.111923e-001
7.931187140187258e-011	8.892511e-003	3.038271e+000	4.111923e-001
1.001470904629165e-010	8.892448e-003	2.969515e+000	4.111923e-001
1.270598010247991e-010	8.892318e-003	2.880703e+000	4.111923e-001
1.619583159793241e-010	8.892052e-003	2.765538e+000	4.111923e-001
2.080912770074965e-010	8.891496e-003	2.613299e+000	4.111923e-001
2.701706989137157e-010	8.890320e-003	2.408437e+000	4.111923e-001
3.568935324569544e-010	8.887736e-003	2.122251e+000	4.111923e-001
4.857697112018517e-010	8.881642e-003	1.696960e+000	4.111923e-001
7.110053007324891e-010	8.865642e-003	9.536825e-001	4.111923e-001
1.000000000000000e-009	8.839493e-003	0.000000e+000	4.111923e-001
1.028899469926751e-009	8.836202e-003	0.000000e+000	4.111923e-001
1.086698409780253e-009	8.829603e-003	0.000000e+000	4.111923e-001
1.202296289487258e-009	8.816828e-003	0.000000e+000	4.111923e-001
1.411357931440812e-009	8.796057e-003	0.000000e+000	4.111923e-001
1.618505001001407e-009	8.779531e-003	0.000000e+000	4.111923e-001
1.835097663875111e-009	8.767426e-003	0.000000e+000	4.111923e-001
2.047211722533345e-009	8.760379e-003	0.000000e+000	4.111923e-001
2.300059758310649e-009	8.756804e-003	0.000000e+000	4.111923e-001
2.584896098942381e-009	8.756962e-003	0.000000e+000	4.111923e-001
2.954895967787727e-009	8.761021e-003	0.000000e+000	4.111923e-001
3.429507435064014e-009	8.769094e-003	0.000000e+000	4.111923e-001
4.190069003776759e-009	8.783987e-003	0.000000e+000	4.111924e-001
5.103191817425666e-009	8.802331e-003	0.000000e+000	4.111924e-001
6.772298185845203e-009	8.835869e-003	0.000000e+000	4.111925e-001
8.580399362495924e-009	8.872405e-003	0.000000e+000	4.111926e-001
1.219660171579736e-008	8.946527e-003	0.000000e+000	4.111926e-001
