time	V(vgate)	V(n005)	I(D1)
0.000000000000000e+000	3.300000e+000	3.300000e+000	4.111923e-001
1.508828950581066e-012	3.300000e+000	3.295021e+000	4.111923e-001
3.017657901162131e-012	3.300000e+000	3.290042e+000	4.111923e-001
4.526486851743197e-012	3.300000e+000	3.285063e+000	4.111923e-001
6.035315802324263e-012	3.300000e+000	3.280083e+000	4.111923e-001
7.544144752905329e-012	3.300000e+000	3.275104e+000	4.111923e-001
9.052973703486393e-012	3.300000e+000	3.270125e+000	4.111923e-001
1.056180265406746e-011	3.300000e+000	3.265146e+000	4.111923e-001
1.571627122282733e-011	3.300000e+000	3.248136e+000	4.111923e-001
2.044695857491339e-011	3.300000e+000	3.232525e+000	4.111923e-001
2.550657104900410e-011	3.300000e+000	3.215828e+000	4.111923e-001
3.190228830318521e-011	3.299999e+000	3.194722e+000	4.111923e-001
3.989691079915231e-011	3.299999e+000	3.168340e+000	4.111923e-001
5.010730726840188e-011	3.299997e+000	3.134646e+000	4.111923e-001
6.292740088066810e-011	3.299995e+000	3.092340e+000	4.111923e-001
7.931187140187258e-011	3.299990e+000	3.038271e+000	4.111923e-001
1.001470904629165e-010	3.299981e+000	2.969515e+000	4.111923e-001
1.270598010247991e-010	3.299962e+000	2.880703e+000	4.111923e-001
1.619583159793241e-010	3.299925e+000	2.765538e+000	4.111923e-001
2.080912770074965e-010	3.299847e+000	2.613299e+000	4.111923e-001
2.701706989137157e-010	3.299685e+000	2.408437e+000	4.111923e-001
3.568935324569544e-010	3.299328e+000	2.122251e+000	4.111923e-001
4.857697112018517e-010	3.298472e+000	1.696960e+000	4.111923e-001
7.110053007324891e-010	3.296148e+000	9.536825e-001	4.111923e-001
1.000000000000000e-009	3.292249e+000	0.000000e+000	4.111923e-001
1.028899469926751e-009	3.291737e+000	0.000000e+000	4.111923e-001
1.086698409780253e-009	3.290694e+000	0.000000e+000	4.111923e-001
1.202296289487258e-009	3.288592e+000	0.000000e+000	4.111923e-001
1.411357931440812e-009	3.284899e+000	0.000000e+000	4.111923e-001
1.618505001001407e-009	3.281540e+000	0.000000e+000	4.111923e-001
1.835097663875111e-009	3.278469e+000	0.000000e+000	4.111923e-001
2.047211722533345e-009	3.275906e+000	0.000000e+000	4.111923e-001
2.300059758310649e-009	3.273315e+000	0.000000e+000	4.111923e-001
2.584896098942381e-009	3.270811e+000	0.000000e+000	4.111923e-001
2.954895967787727e-009	3.267951e+000	0.000000e+000	4.111923e-001
3.429507435064014e-009	3.264582e+000	0.000000e+000	4.111923e-001
4.190069003776759e-009	3.259398e+000	0.000000e+000	4.111924e-001
5.103191817425666e-009	3.253235e+000	0.000000e+000	4.111924e-001
6.772298185845203e-009	3.241988e+000	0.000000e+000	4.111925e-001
8.580399362495924e-009	3.229846e+000	0.000000e+000	4.111926e-001
1.219660171579736e-008	3.205742e+000	0.000000e+000	4.111926e-001
1.942900642240024e-008	3.158092e+000	0.000000e+000	4.111922e-001
2.919463142240024e-008	3.094757e+000	0.000000e+000	4.111904e-001
4.872588142240024e-008	2.971714e+000	0.000000e+000	4.111817e-001
5.849150642240024e-008	2.912040e+000	0.000000e+000	4.111746e-001
7.802275642240024e-008	2.796263e+000	0.000000e+000	4.111551e-001
1.073196314224002e-007	2.631166e+000	0.000000e+000	4.111131e-001
1.268508814224002e-007	2.526546e+000	0.000000e+000	4.110768e-001
1.463821314224002e-007	2.426079e+000	0.000000e+000	4.110339e-001
1.659133814224002e-007	2.329598e+000	0.000000e+000	4.109840e-001
1.854446314224002e-007	2.236948e+000	0.000000e+000	4.109269e-001
2.049758814224002e-007	2.147978e+000	0.000000e+000	4.108621e-001
2.245071314224002e-007	2.062547e+000	0.000000e+000	4.107888e-001
2.342727564224002e-007	2.021116e+000	0.000000e+000	4.107487e-001
2.440383814224002e-007	1.980522e+000	0.000000e+000	4.107062e-001
2.538040064224002e-007	1.940749e+000	0.000000e+000	4.106610e-001
2.635696314224003e-007	1.901782e+000	0.000000e+000	4.106130e-001
2.733352564224003e-007	1.863608e+000	0.000000e+000	4.105619e-001
2.831008814224003e-007	1.826215e+000	0.000000e+000	4.105077e-001
2.928665064224003e-007	1.789590e+000	0.000000e+000	4.104499e-001
3.026321314224004e-007	1.753722e+000	0.000000e+000	4.103884e-001
3.123977564224004e-007	1.718602e+000	0.000000e+000	4.103227e-001
3.221633814224004e-007	1.684220e+000	0.000000e+000	4.102526e-001
3.319290064224004e-007	1.650569e+000	0.000000e+000	4.101775e-001
3.416946314224005e-007	1.617643e+000	0.000000e+000	4.100970e-001
3.514602564224005e-007	1.585439e+000	0.000000e+000	4.100105e-001
3.612258814224005e-007	1.553953e+000	0.000000e+000	4.099174e-001
3.709915064224005e-007	1.523186e+000	0.000000e+000	4.098169e-001
3.807571314224006e-007	1.493142e+000	0.000000e+000	4.097081e-001
3.905227564224006e-007	1.463826e+000	0.000000e+000	4.095902e-001
4.002883814224006e-007	1.435251e+000	0.000000e+000	4.094617e-001
4.100540064224006e-007	1.407431e+000	0.000000e+000	4.093214e-001
4.198196314224007e-007	1.380389e+000	0.000000e+000	4.091675e-001
4.295852564224007e-007	1.354155e+000	0.000000e+000	4.089982e-001
4.393508814224007e-007	1.328769e+000	0.000000e+000	4.088110e-001
4.491165064224007e-007	1.304284e+000	0.000000e+000	4.086032e-001
4.588821314224008e-007	1.280768e+000	0.000000e+000	4.083713e-001
4.686477564224008e-007	1.258311e+000	0.000000e+000	4.081111e-001
4.784133814224008e-007	1.237032e+000	0.000000e+000	4.078175e-001
4.881790064224008e-007	1.217092e+000	0.000000e+000	4.074842e-001
4.979446314224009e-007	1.198708e+000	0.000000e+000	4.071031e-001
5.077102564224009e-007	1.182180e+000	0.000000e+000	4.066640e-001
5.174758814224009e-007	1.167937e+000	0.000000e+000	4.061535e-001
5.272415064224009e-007	1.156593e+000	0.000000e+000	4.055539e-001
5.370071314224010e-007	1.149026e+000	0.000000e+000	4.048414e-001
5.467727564224010e-007	1.145495e+000	0.000000e+000	4.039852e-001
5.565383814224010e-007	1.144509e+000	0.000000e+000	4.029546e-001
5.663040064224011e-007	1.144149e+000	0.000000e+000	4.017306e-001
5.760696314224011e-007	1.143739e+000	0.000000e+000	4.003111e-001
5.858352564224011e-007	1.143280e+000	0.000000e+000	3.987051e-001
5.956008814224011e-007	1.142777e+000	0.000000e+000	3.969249e-001
6.053665064224012e-007	1.142231e+000	0.000000e+000	3.949830e-001
6.151321314224012e-007	1.141645e+000	0.000000e+000	3.928906e-001
6.248977564224012e-007	1.141021e+000	0.000000e+000	3.906583e-001
6.444290064224013e-007	1.139667e+000	0.000000e+000	3.858107e-001
6.639602564224013e-007	1.138182e+000	0.000000e+000	3.805056e-001
6.834915064224014e-007	1.136574e+000	0.000000e+000	3.747958e-001
7.127883814224014e-007	1.133946e+000	0.000000e+000	3.655608e-001
7.420852564224015e-007	1.131068e+000	0.000000e+000	3.556079e-001
7.602214171366873e-007	1.129181e+000	0.000000e+000	3.491302e-001
7.783575778509730e-007	1.127177e+000	0.000000e+000	3.423959e-001
7.964937385652588e-007	1.125057e+000	0.000000e+000	3.354048e-001
8.146298992795445e-007	1.122821e+000	0.000000e+000	3.281571e-001
8.327660599938303e-007	1.120468e+000	0.000000e+000	3.206527e-001
8.509022207081161e-007	1.118000e+000	0.000000e+000	3.128915e-001
8.690383814224018e-007	1.115415e+000	0.000000e+000	3.048737e-001
8.983352564224019e-007	1.110852e+000	0.000000e+000	2.912048e-001
9.276321314224020e-007	1.105778e+000	0.000000e+000	2.765899e-001
9.569290064224021e-007	1.100070e+000	0.000000e+000	2.608692e-001
9.862258814224022e-007	1.093568e+000	0.000000e+000	2.438576e-001
1.015522756422402e-006	1.086060e+000	0.000000e+000	2.253566e-001
1.035054006422402e-006	1.080362e+000	0.000000e+000	2.120983e-001
1.054585256422402e-006	1.073987e+000	0.000000e+000	1.980395e-001
1.074116506422402e-006	1.066802e+000	0.000000e+000	1.831383e-001
1.093647756422402e-006	1.058635e+000	0.000000e+000	1.673672e-001
1.103413381422403e-006	1.054114e+000	0.000000e+000	1.591524e-001
1.113179006422403e-006	1.049256e+000	0.000000e+000	1.507195e-001
1.122944631422403e-006	1.044017e+000	0.000000e+000	1.420724e-001
1.132710256422403e-006	1.038346e+000	0.000000e+000	1.332170e-001
1.142475881422403e-006	1.032179e+000	0.000000e+000	1.241623e-001
1.152241506422403e-006	1.025437e+000	0.000000e+000	1.149206e-001
1.162007131422403e-006	1.018017e+000	0.000000e+000	1.055084e-001
1.171772756422403e-006	1.009786e+000	0.000000e+000	9.594698e-002
1.181538381422403e-006	1.000563e+000	0.000000e+000	8.626381e-002
1.191304006422403e-006	9.900947e-001	0.000000e+000	7.649405e-002
1.201069631422403e-006	9.780097e-001	0.000000e+000	6.668270e-002
1.210835256422403e-006	9.637286e-001	0.000000e+000	5.688784e-002
1.220600881422403e-006	9.462773e-001	0.000000e+000	4.718538e-002
1.230366506422403e-006	9.238396e-001	0.000000e+000	3.767753e-002
1.240132131422403e-006	8.925769e-001	0.000000e+000	2.850910e-002
1.249897756422403e-006	8.438182e-001	0.000000e+000	1.990328e-002
1.259663381422403e-006	7.672037e-001	0.000000e+000	1.207327e-002
1.265902716901472e-006	6.936543e-001	0.000000e+000	7.766862e-003
1.272782460628027e-006	5.868617e-001	0.000000e+000	4.013561e-003
1.279891555476077e-006	4.644714e-001	0.000000e+000	1.378195e-003
1.287535407966314e-006	3.403195e-001	0.000000e+000	5.369317e-005
1.294655418594390e-006	2.482962e-001	0.000000e+000	1.033713e-004
1.299698290657254e-006	2.048283e-001	0.000000e+000	8.203594e-004
1.302812632309471e-006	1.914916e-001	0.000000e+000	1.532589e-003
1.306537549618792e-006	1.895571e-001	0.000000e+000	2.559669e-003
1.310254822905819e-006	2.013713e-001	0.000000e+000	3.658243e-003
1.316056792697075e-006	2.415073e-001	0.000000e+000	5.338320e-003
1.322104580362828e-006	3.020402e-001	0.000000e+000	6.791070e-003
1.330115209296508e-006	3.945875e-001	0.000000e+000	7.941367e-003
1.338279498805075e-006	4.783847e-001	0.000000e+000	8.003766e-003
1.347289232983071e-006	5.396532e-001	0.000000e+000	6.853831e-003
1.352605010299336e-006	5.521697e-001	0.000000e+000	5.639468e-003
1.356201015420198e-006	5.458354e-001	0.000000e+000	4.601543e-003
1.359183811065737e-006	5.313167e-001	0.000000e+000	3.673967e-003
1.362764885574719e-006	5.043945e-001	0.000000e+000	2.554100e-003
1.367184296450658e-006	4.601969e-001	0.000000e+000	1.261356e-003
1.373103856207120e-006	3.888833e-001	0.000000e+000	-1.731487e-004
1.380000618545356e-006	2.996839e-001	0.000000e+000	-1.266792e-003
1.387104646781203e-006	2.135644e-001	0.000000e+000	-1.628319e-003
1.393795835401002e-006	1.488192e-001	0.000000e+000	-1.245123e-003
1.399431145773778e-006	1.122254e-001	0.000000e+000	-4.467381e-004
1.402898629233267e-006	1.009755e-001	0.000000e+000	2.358265e-004
1.406500921508545e-006	9.961671e-002	0.000000e+000	1.053045e-003
1.410023785200690e-006	1.077703e-001	0.000000e+000	1.884867e-003
1.415610661818043e-006	1.355567e-001	0.000000e+000	3.151375e-003
1.421510062405258e-006	1.781127e-001	0.000000e+000	4.254945e-003
1.429338591478610e-006	2.441194e-001	0.000000e+000	5.160621e-003
1.436912464796087e-006	3.025098e-001	0.000000e+000	5.290286e-003
1.445597411776183e-006	3.493043e-001	0.000000e+000	4.576537e-003
1.451322600742850e-006	3.623021e-001	0.000000e+000	3.678562e-003
1.455045190297934e-006	3.595462e-001	0.000000e+000	2.923297e-003
