time	V(vgate)	V(vout)	I(D3)
0.000000000000000e+000	3.300000e+000	7.492814e-003	3.465263e-001
6.249999897583222e-013	3.300000e+000	7.492814e-003	3.465263e-001
1.249999979516644e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.874999969274967e-012	3.300000e+000	7.492814e-003	3.465263e-001
2.499999959033289e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.124999948791611e-012	3.300000e+000	7.492814e-003	3.465263e-001
3.749999938549933e-012	3.300000e+000	7.492814e-003	3.465263e-001
4.374999928308254e-012	3.300000e+000	7.492814e-003	3.465263e-001
8.749999856616508e-012	3.300000e+000	7.492814e-003	3.465263e-001
1.361529807776636e-011	3.299999e+000	7.492813e-003	3.465263e-001
1.860288226332610e-011	3.299999e+000	7.492812e-003	3.465263e-001
2.340180915866632e-011	3.299997e+000	7.492810e-003	3.465263e-001
2.923779066675163e-011	3.299995e+000	7.492804e-003	3.465263e-001
3.648190629458004e-011	3.299990e+000	7.492792e-003	3.465264e-001
4.573316271444684e-011	3.299980e+000	7.492763e-003	3.465264e-001
5.730011400021466e-011	3.299962e+000	7.492698e-003	3.465264e-001
7.202361550797155e-011	3.299925e+000	7.492553e-003	3.465264e-001
9.062584347267909e-011	3.299854e+000	7.492233e-003	3.465264e-001
1.144960956764115e-010	3.299714e+000	7.491528e-003	3.465264e-001
1.451826221580910e-010	3.299433e+000	7.489991e-003	3.465264e-001
1.853759702140754e-010	3.298862e+000	7.486628e-003	3.465265e-001
2.389148506697978e-010	3.297679e+000	7.479226e-003	3.465265e-001
3.131293038085114e-010	3.295111e+000	7.462418e-003	3.465266e-001
4.239460111737381e-010	3.288951e+000	7.420935e-003	3.465267e-001
6.381856751555454e-010	3.272196e+000	7.307112e-003	3.465268e-001
7.432524448966544e-010	3.261937e+000	7.237573e-003	3.465269e-001
7.898664605177823e-010	3.256658e+000	7.202143e-003	3.465269e-001
8.830944917600382e-010	3.245307e+000	7.127173e-003	3.465269e-001
1.000000000000000e-009	3.230536e+000	7.030969e-003	3.465270e-001
1.011690550823996e-009	3.229002e+000	7.021205e-003	3.465270e-001
1.035071652471989e-009	3.225939e+000	7.001784e-003	3.465270e-001
1.081833855767973e-009	3.219920e+000	6.964052e-003	3.465270e-001
1.175358262359943e-009	3.208824e+000	6.897229e-003	3.465270e-001
1.362407075543882e-009	3.190646e+000	6.799385e-003	3.465271e-001
1.574285495013886e-009	3.176769e+000	6.747826e-003	3.465271e-001
1.813875014411206e-009	3.168786e+000	6.757207e-003	3.465272e-001
2.084576254907384e-009	3.164868e+000	6.812209e-003	3.465272e-001
2.354094257135334e-009	3.161601e+000	6.871933e-003	3.465273e-001
2.640535023107351e-009	3.155739e+000	6.913730e-003	3.465273e-001
3.040677641592557e-009	3.144043e+000	6.940696e-003	3.465274e-001
3.488562690087936e-009	3.129744e+000	6.960172e-003	3.465275e-001
3.939484943762131e-009	3.116296e+000	6.988282e-003	3.465275e-001
4.575172111922989e-009	3.098643e+000	7.039267e-003	3.465276e-001
5.446272939394347e-009	3.074383e+000	7.107722e-003	3.465278e-001
6.310772052213451e-009	3.050173e+000	7.173582e-003	3.465279e-001
8.031548226509845e-009	3.002720e+000	7.309478e-003	3.465282e-001
9.753168162745700e-009	2.956043e+000	7.450263e-003	3.465285e-001
1.249079569361865e-008	2.883635e+000	7.685642e-003	3.465287e-001
1.770739222843524e-008	2.750658e+000	8.171114e-003	3.465281e-001
2.419055837983855e-008	2.593121e+000	8.841764e-003	3.465249e-001
3.102649587983855e-008	2.436294e+000	9.647995e-003	3.465180e-001
3.786243337983855e-008	2.288785e+000	1.058178e-002	3.465067e-001
4.469837087983855e-008	2.150156e+000	1.167610e-002	3.464900e-001
5.153430837983855e-008	2.019875e+000	1.297397e-002	3.464675e-001
5.837024587983855e-008	1.897456e+000	1.453540e-002	3.464381e-001
6.520618337983856e-008	1.782462e+000	1.644625e-002	3.464007e-001
7.204212087983855e-008	1.674520e+000	1.883380e-002	3.463536e-001
7.887805837983854e-008	1.573333e+000	2.189353e-002	3.462945e-001
8.571399587983854e-008	1.478717e+000	2.593849e-002	3.462200e-001
9.254993337983853e-008	1.390668e+000	3.149245e-002	3.461252e-001
9.938587087983853e-008	1.309493e+000	3.947579e-002	3.460023e-001
1.062218083798385e-007	1.236107e+000	5.160790e-002	3.458383e-001
1.130577458798385e-007	1.172799e+000	7.145267e-002	3.456106e-001
1.198936833798385e-007	1.123978e+000	1.056203e-001	3.452878e-001
1.252891616513547e-007	1.102507e+000	1.521219e-001	3.449082e-001
1.312554601003847e-007	1.095893e+000	2.245353e-001	3.442807e-001
1.366539146335879e-007	1.095360e+000	2.976538e-001	3.434547e-001
1.423835910964727e-007	1.094819e+000	3.766971e-001	3.422286e-001
1.492195285964727e-007	1.093937e+000	4.727866e-001	3.403018e-001
1.560554660964727e-007	1.092902e+000	5.713111e-001	3.378793e-001
1.628914035964727e-007	1.091656e+000	6.728758e-001	3.349463e-001
1.697273410964727e-007	1.090214e+000	7.782362e-001	3.315126e-001
1.765632785964727e-007	1.088540e+000	8.882758e-001	3.275861e-001
1.833992160964727e-007	1.086629e+000	1.004147e+000	3.231701e-001
1.902351535964727e-007	1.084437e+000	1.127254e+000	3.182611e-001
1.970710910964727e-007	1.081933e+000	1.259357e+000	3.128475e-001
2.039070285964727e-007	1.079061e+000	1.402561e+000	3.069079e-001
2.107429660964727e-007	1.075765e+000	1.559332e+000	3.004093e-001
2.175789035964728e-007	1.071974e+000	1.732403e+000	2.933057e-001
2.244148410964728e-007	1.067610e+000	1.924645e+000	2.855373e-001
2.312507785964728e-007	1.062583e+000	2.138859e+000	2.770301e-001
2.380867160964728e-007	1.056792e+000	2.377545e+000	2.676970e-001
2.449226535964728e-007	1.050110e+000	2.642665e+000	2.574399e-001
2.517585910964728e-007	1.042382e+000	2.935422e+000	2.461541e-001
2.585945285964728e-007	1.033397e+000	3.256075e+000	2.337330e-001
2.654304660964728e-007	1.022867e+000	3.603768e+000	2.200751e-001
2.722664035964728e-007	1.010368e+000	3.976336e+000	2.050914e-001
2.791023410964728e-007	9.952551e-001	4.370013e+000	1.887144e-001
